"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag243",0,0,0,0,0,0,0,0,0,0,9,9
"ag244",0,0,0,0,0,0,0,0,7,7,7,7
"ag245",0,0,0,0,0,0,0,0,0,4,4,4
"ag246",0,0,0,0,0,0,0,0,0,0,17,17
"ag247",0,0,0,0,0,0,0,0,0,5,5,5
"ag248",0,0,0,0,0,0,0,7,7,7,7,7
"ag250",0,0,0,0,0,0,0,3,3,3,3,3
"ag251",0,0,0,0,0,0,0,0,0,0,0,0
"ag253",0,0,0,0,0,0,0,0,20,20,20,20
"ag254",0,0,0,0,0,0,0,0,11,11,11,11
"ag255",0,0,0,0,0,0,0,0,19,19,19,19
"ag256",0,0,0,0,0,0,0,0,16,16,16,16
"ag257",0,0,0,0,0,0,0,0,0,10,10,10
"ag258",0,0,0,0,0,0,0,0,0,4,4,4
"ag259",0,0,0,0,0,0,0,0,0,0,0,0
"ag260",0,0,0,0,0,0,0,0,0,0,0,0
"ag261",0,0,0,0,0,0,0,0,0,0,0,5
"ag262",0,0,0,0,0,0,0,0,8,8,8,8
"ag263",0,0,0,0,0,0,0,0,0,7,7,7
"ag264",0,0,0,0,0,0,0,0,0,0,3,3
"ag267",0,0,0,0,0,0,0,0,12,12,12,12
"ag268",0,0,0,0,0,0,0,0,0,0,5,5
"ag269",0,0,0,0,0,0,0,0,0,0,12,12
"ag270",0,0,0,0,0,0,0,0,0,0,9,9
"ag271",0,0,0,0,0,0,0,8,8,8,8,8
"ag272",0,0,0,0,0,0,0,0,0,0,7,7
"ag273",0,0,0,0,0,0,0,3,3,3,3,3
"ag274",0,0,0,0,0,0,0,0,0,12,12,12
"ag276",0,0,0,0,0,0,0,13,13,13,13,13
"ag277",0,0,0,0,0,0,0,0,0,0,7,7
"ag278",0,0,0,0,0,0,0,0,0,0,0,5
"ag279",0,0,0,0,0,0,0,0,8,8,8,8
"ag280",0,0,0,0,0,0,0,0,0,0,0,0
"ag281",0,0,0,0,0,0,0,0,0,0,0,0
"ag282",0,0,0,0,0,0,0,0,5,5,5,5
"ag283",0,0,0,0,0,0,0,0,0,0,0,4
"ag284",0,0,0,0,0,0,0,0,0,0,5,5
"ag285",0,0,0,0,0,0,0,0,0,0,9,9
"ag286",0,0,0,0,0,0,0,8,8,8,8,8
