Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag181,0,0,0,0,0,0,0,4,4,4,4,4,20,20,20,20,20,34,34,34
ag182,0,0,0,0,0,0,1,1,1,1,1,9,9,9,9,9,17,17,17,17
ag183,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15,15,15,15,8
ag184,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8,5,5,12
ag185,0,0,0,0,0,0,0,3,3,3,3,3,18,18,18,18,18,15,36,36
ag186,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,5,5
ag188,0,0,0,0,0,0,0,5,5,5,5,5,13,13,13,13,13,18,18,18
ag189,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,22,16,16,16
ag191,0,0,0,0,0,0,1,1,1,1,1,24,24,24,24,24,23,49,49,49
ag192,0,0,0,0,0,0,0,2,2,2,2,2,8,8,8,8,8,18,18,18
ag193,0,0,0,0,0,0,0,4,4,4,4,4,12,12,12,12,12,22,22,22
ag194,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,11,13,13
ag195,0,0,0,0,0,0,0,3,3,3,3,3,15,15,15,15,15,25,25,25
ag196,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,10,10,10,10
ag197,0,0,0,0,0,0,0,0,7,7,7,7,7,7,16,16,16,16,9,20
ag198,0,0,0,0,0,0,0,0,5,5,5,5,5,5,13,13,13,13,8,17
ag199,0,0,0,0,0,0,1,1,1,1,1,9,9,9,9,9,22,22,22,22
ag200,0,0,0,0,0,0,0,0,0,11,11,11,11,11,25,25,25,25,25,35
ag201,0,0,0,0,0,0,0,4,4,4,4,4,13,13,13,13,13,25,25,25
ag202,0,0,0,0,0,0,0,2,2,2,2,2,5,5,5,5,5,7,7,7
ag204,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15,15
ag205,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8,5,5,12
ag206,0,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,36,27,27
ag207,0,0,0,0,0,0,0,3,3,3,3,3,3,20,20,20,20,17,17,36
ag208,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,6,13
ag209,0,0,0,0,0,0,0,5,5,5,5,5,13,13,13,13,13,17,17,17
ag210,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13,13
ag211,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,12,12,12,12,8
ag212,0,0,0,0,0,0,1,1,1,1,1,19,19,19,19,19,37,37,37,37
ag213,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,13,15,15
ag214,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,11,11,11
ag215,0,0,0,0,0,0,0,0,2,2,2,2,2,2,8,8,8,8,6,6
ag216,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13
ag217,0,0,0,0,0,0,0,4,4,4,4,4,10,10,10,10,10,13,13,13
ag218,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,12,12,12
ag219,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,8,8,8,8,8
ag220,0,0,0,0,0,0,0,4,4,4,4,4,12,12,12,12,12,22,22,22
ag222,0,0,0,0,0,0,0,4,4,4,4,4,13,13,13,13,13,24,24,24
ag223,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7
ag224,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10
ag225,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,19
ag226,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,11,16,16,16
ag227,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9
ag228,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,39,39,39
ag230,0,0,0,0,0,0,0,4,4,4,4,4,13,13,13,13,13,24,24,24
ag232,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,22,22,22
ag233,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,11
ag235,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,6
ag236,0,0,0,0,0,0,0,6,6,6,6,6,15,15,15,15,15,19,19,19
ag237,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,9,11
ag238,0,0,0,0,0,0,1,1,1,1,1,10,10,10,10,10,9,20,20,20
ag239,0,0,0,0,0,0,0,3,3,3,3,3,7,7,7,7,12,9,9,9
ag240,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7
ag241,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,12,12,12
ag242,0,0,0,0,0,0,0,4,4,4,4,4,4,19,19,19,19,15,15,36
ag243,0,0,0,0,0,0,0,0,3,3,3,3,3,3,17,17,17,17,14,14
ag244,0,0,0,0,0,0,0,3,3,3,3,3,10,10,10,10,17,14,14,14
ag245,0,0,0,0,0,0,0,2,2,2,2,2,6,6,6,6,6,9,9,9
ag246,0,0,0,0,0,0,1,1,1,1,1,15,15,15,15,15,34,34,34,34
ag247,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,12
ag248,0,0,0,0,0,0,0,3,3,3,3,3,23,23,23,23,23,43,43,43
ag250,0,0,0,0,0,0,0,1,1,1,1,1,1,9,9,9,9,8,8,18
ag251,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,28,28,28,28
ag253,0,0,0,0,0,0,1,1,1,1,1,25,25,25,25,25,49,49,49,49
ag254,0,0,0,0,0,0,1,1,1,1,1,17,17,17,17,17,34,34,34,34
ag255,0,0,0,0,0,0,0,2,2,2,2,2,2,33,33,33,33,31,31,66
ag256,0,0,0,0,0,0,1,1,1,1,1,23,23,23,23,23,22,48,48,48
ag257,0,0,0,0,0,0,0,4,4,4,4,4,12,12,12,12,25,21,21,21
ag258,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8,5,5
ag259,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,5
ag260,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,7,7,7
ag261,0,0,0,0,0,0,0,3,3,3,3,3,7,7,7,7,7,10,10,10
ag262,0,0,0,0,0,0,1,1,1,1,1,8,8,8,8,8,7,23,23,23
ag263,0,0,0,0,0,0,0,0,6,6,6,6,6,6,14,14,14,14,8,16
ag264,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,5,3
ag267,0,0,0,0,0,0,2,2,2,2,2,19,19,19,19,19,17,39,39,39
ag268,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,6
ag269,0,0,0,0,0,0,0,0,10,10,10,10,10,10,22,22,22,22,12,27
ag270,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,18,14,14,14
ag271,0,0,0,0,0,0,0,4,4,4,4,4,13,13,13,13,13,22,22,22
ag272,0,0,0,0,0,0,0,4,4,4,4,4,10,10,10,10,10,13,13,13
ag273,0,0,0,0,0,0,0,2,2,2,2,2,7,7,7,7,7,11,11,11
ag274,0,0,0,0,0,0,0,3,3,3,3,3,17,17,17,17,17,29,29,29
ag276,0,0,0,0,0,0,0,5,5,5,5,5,23,23,23,23,23,38,38,38
ag277,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,11,13,13,13
ag278,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,8,8,8,8,13
ag279,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,30,30,30
ag280,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,12,12,12,12
ag281,0,0,0,0,0,0,0,0,6,6,6,6,6,6,17,17,17,17,27,27
ag282,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13
ag283,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,4,9
ag284,0,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,5,12
ag285,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,12,17,17,17
ag286,0,0,0,0,0,0,1,1,1,1,1,10,10,10,10,10,23,23,23,23
ag287,0,0,0,0,0,0,1,1,1,1,1,11,11,11,11,11,10,25,25,25
ag288,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,11,11,11
ag289,0,0,0,0,0,0,0,4,4,4,4,4,22,22,22,22,22,38,38,38
ag290,0,0,0,0,0,0,1,1,1,1,1,9,9,9,9,9,8,21,21,21
ag291,0,0,0,0,0,0,0,0,8,8,8,8,8,16,16,16,16,24,16,16
ag292,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11
ag293,0,0,0,0,0,0,1,1,1,1,1,1,19,19,19,19,18,18,39,39
ag294,0,0,0,0,0,0,0,3,3,3,3,3,21,21,21,21,21,18,38,38
ag295,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,7,15
ag296,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,4,9
ag297,0,0,0,0,0,0,1,1,1,1,1,9,9,9,9,9,16,16,16,16
ag298,0,0,0,0,0,0,0,4,4,4,4,4,8,8,8,8,13,9,9,9
ag299,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,30,30,30,30
