Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag264,0,0,0,1,1,1,1,1,1,4,4,4,4,3,3,7,7,7,7,9
ag267,0,0,0,0,0,0,0,13,13,13,13,13,30,30,30,30,51,38,38,62
ag268,0,0,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,22,17
ag269,0,0,0,0,0,0,0,0,0,13,13,13,13,26,26,26,26,41,41,28
ag270,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,31,22,22,22
ag271,0,0,0,0,0,0,0,9,9,9,9,19,19,19,19,32,32,23,23,39
ag272,0,0,0,0,0,0,0,0,0,7,7,7,7,14,14,14,14,23,23,16
ag273,0,0,0,0,0,0,0,4,4,4,4,4,12,12,12,12,23,19,19,19
ag274,0,0,0,0,0,0,0,0,0,13,13,13,13,27,27,27,27,44,44,31
ag276,0,0,0,0,0,0,0,15,15,15,15,15,32,32,32,32,52,37,37,37
ag277,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15,15
ag278,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,13
ag279,0,0,0,0,0,0,7,7,7,7,7,20,20,20,20,38,31,31,31,57
ag280,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,28
ag281,0,0,0,0,0,0,0,0,0,0,14,14,14,14,29,29,29,29,46,46
ag282,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,23,17,17
ag283,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,16,12
ag284,0,0,0,0,0,0,0,0,0,5,5,5,5,5,13,13,13,13,24,19
ag285,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,31,23,23,23
ag286,0,0,0,0,0,0,0,0,11,11,11,11,11,24,24,24,24,40,29,29
ag287,0,0,0,0,0,0,0,0,11,11,11,11,11,24,24,24,24,40,29,29
ag288,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,19,14,14,14
