"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag247",0,0,0,0,0,0,0,0,0,6,6,6
"ag248",0,0,0,0,0,0,0,13,13,13,13,13
"ag250",0,0,0,0,0,0,0,6,6,6,6,6
"ag251",0,0,0,0,0,0,0,0,0,0,0,17
"ag253",0,0,0,0,0,0,0,0,22,22,22,22
"ag254",0,0,0,0,0,0,0,0,13,13,13,13
"ag255",0,0,0,0,0,0,0,0,21,21,21,21
"ag256",0,0,0,0,0,0,0,0,18,18,18,18
"ag257",0,0,0,0,0,0,0,0,0,11,11,11
"ag258",0,0,0,0,0,0,0,0,0,5,5,5
"ag259",0,0,0,0,0,0,0,0,0,0,4,4
"ag260",0,0,0,0,0,0,0,0,0,0,0,0
"ag261",0,0,0,0,0,0,0,0,0,0,6,6
"ag262",0,0,0,0,0,0,0,0,10,10,10,10
"ag263",0,0,0,0,0,0,0,0,0,8,8,8
"ag264",0,0,0,0,0,0,0,0,0,3,3,3
"ag267",0,0,0,0,0,0,0,0,14,14,14,14
"ag268",0,0,0,0,0,0,0,0,0,5,5,5
"ag269",0,0,0,0,0,0,0,0,0,13,13,13
"ag270",0,0,0,0,0,0,0,0,0,9,9,9
"ag271",0,0,0,0,0,0,0,9,9,9,9,9
"ag272",0,0,0,0,0,0,0,0,0,7,7,7
"ag273",0,0,0,0,0,0,0,3,3,3,3,3
"ag274",0,0,0,0,0,0,0,0,0,13,13,13
"ag276",0,0,0,0,0,0,0,14,14,14,14,14
"ag277",0,0,0,0,0,0,0,0,6,6,6,6
"ag278",0,0,0,0,0,0,0,0,0,0,5,5
"ag279",0,0,0,0,0,0,0,0,9,9,9,9
"ag280",0,0,0,0,0,0,0,0,0,0,0,0
"ag281",0,0,0,0,0,0,0,0,0,0,14,14
"ag282",0,0,0,0,0,0,0,0,6,6,6,6
"ag283",0,0,0,0,0,0,0,0,0,0,5,5
"ag284",0,0,0,0,0,0,0,0,0,5,5,5
"ag285",0,0,0,0,0,0,0,0,0,9,9,9
"ag286",0,0,0,0,0,0,0,10,10,10,10,10
"ag287",0,0,0,0,0,0,0,9,9,9,9,9
"ag288",0,0,0,0,0,0,0,5,5,5,5,5
"ag289",0,0,0,0,0,0,0,0,0,17,17,17
"ag290",0,0,0,0,0,0,0,0,0,10,10,10
"ag291",0,0,0,0,0,0,0,0,0,10,10,10
"ag292",0,0,0,0,0,1,1,1,1,1,1,1
"ag293",0,0,0,0,0,0,0,0,0,16,16,16
"ag294",0,0,0,0,0,0,0,0,15,15,15,15
"ag295",0,0,0,0,0,0,0,0,0,7,7,7
"ag296",0,0,0,0,0,0,0,0,0,0,4,4
"ag297",0,0,0,0,0,0,0,0,0,9,9,9
"ag298",0,0,0,0,0,0,0,0,0,0,6,6
"ag299",0,0,0,0,0,0,0,0,13,13,13,13
