"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag255",3,3,3,3,3,3,3,3,11.5,11.5,11.5,11.5
"ag256",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7,7
"ag257",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5
"ag258",1,1,1,1,1,1,1,1,1,4,4,4
"ag259",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2
"ag260",0,0,1,1,1,1,1,1,1,1,1,1
"ag261",1,1,1,1,1,1,1,1,1,1,3,3
"ag262",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5,6.5
"ag263",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5
"ag264",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5
"ag267",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5,6.5
"ag268",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag269",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5,5
"ag270",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag271",1,1,1,1,1,1,1,4,4,4,4,4
"ag272",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag273",1,1,1,1,1,1,1,3,3,3,3,3
"ag274",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5
"ag276",1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7,7,7
"ag277",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,3.5
"ag278",0,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag279",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5
"ag280",0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"ag281",1,1,1,1,1,1,1,1,1,1,6,6
"ag282",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag283",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2
"ag284",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag285",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag286",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag287",1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5
"ag288",1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5
"ag289",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7
"ag290",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5
"ag291",1,1,1,1,1,1,1,1,1,4,4,4
"ag292",0,0,0,0,0,1,1,1,1,1,1,1
"ag293",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8.5,8.5,8.5
"ag294",2,2,2,2,2,2,2,2,7.5,7.5,7.5,7.5
"ag295",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
"ag296",1,1,1,1,1,1,1,1,1,1,3,3
"ag297",1,1,1,1,1,1,1,1,1,4.5,4.5,4.5
"ag298",1,1,1,1,1,1,1,1,1,1,3,3
"ag299",3,3,3,3,3,3,3,3,7.5,7.5,7.5,7.5
