Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag256,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,45
ag257,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,22
ag258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
ag259,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,6,6,4
ag260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
ag261,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
ag262,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,23
ag263,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
ag264,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,5,5,3
ag267,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,37
ag268,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,7,7,7,7,5
ag269,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12,12,12,12,11,25
ag270,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,18
ag271,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,22
ag272,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,14
ag273,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,14
ag274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14
ag276,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,37
ag277,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13
ag278,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7
ag279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
ag280,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10,10,10
ag281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11
ag282,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,12
